"agency","site_no","Date","HydrologicEvent","CharacteristicName","SampleFraction","Units","value","month","agency_cd","Discharge","D.Approval.Code","Gage.Height","GH.Approval.Code","Location"
"21NC01WQ","J1270000",1976-10-04,NA,"Temperature, water"," ","deg C",17,"Oct",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-10-07,NA,"Temperature, water"," ","deg C",22,"Oct",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-10-11,NA,"Temperature, water"," ","deg C",13,"Oct",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-10-14,NA,"Temperature, water"," ","deg C",13.2,"Oct",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-10-18,NA,"Temperature, water"," ","deg C",9.5,"Oct",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-10-21,NA,"Temperature, water"," ","deg C",11.8,"Oct",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-10-25,NA,"Temperature, water"," ","deg C",14,"Oct",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-10-28,NA,"Temperature, water"," ","deg C",7,"Oct",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-11-01,NA,"Temperature, water"," ","deg C",10,"Nov",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-11-04,NA,"Temperature, water"," ","deg C",10,"Nov",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-11-08,NA,"Temperature, water"," ","deg C",6,"Nov",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-11-11,NA,"Temperature, water"," ","deg C",7,"Nov",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-11-15,NA,"Temperature, water"," ","deg C",6,"Nov",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-11-18,NA,"Temperature, water"," ","deg C",6,"Nov",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-11-22,NA,"Temperature, water"," ","deg C",6,"Nov",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-11-26,NA,"Temperature, water"," ","deg C",7.9,"Nov",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-11-29,NA,"Temperature, water"," ","deg C",14.2,"Nov",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-12-02,NA,"Temperature, water"," ","deg C",5.2,"Dec",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-12-06,NA,"Temperature, water"," ","deg C",4.4,"Dec",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-12-07,NA,"Temperature, water"," ","deg C",9.5,"Dec",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-12-09,NA,"Temperature, water"," ","deg C",3,"Dec",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-12-13,NA,"Temperature, water"," ","deg C",8.8,"Dec",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-12-15,NA,"Temperature, water"," ","deg C",6.4,"Dec",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-12-16,NA,"Temperature, water"," ","deg C",9,"Dec",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-12-20,NA,"Temperature, water"," ","deg C",9,"Dec",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-12-27,NA,"Temperature, water"," ","deg C",2,"Dec",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1976-12-30,NA,"Temperature, water"," ","deg C",1,"Dec",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-01-03,NA,"Temperature, water"," ","deg C",3,"Jan",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-01-06,NA,"Temperature, water"," ","deg C",3,"Jan",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-01-07,NA,"Temperature, water"," ","deg C",1,"Jan",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-01-10,NA,"Temperature, water"," ","deg C",3.5,"Jan",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-01-13,NA,"Temperature, water"," ","deg C",0,"Jan",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-01-18,NA,"Temperature, water"," ","deg C",0,"Jan",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-01-20,NA,"Temperature, water"," ","deg C",0,"Jan",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-01-24,NA,"Temperature, water"," ","deg C",0,"Jan",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-01-27,NA,"Temperature, water"," ","deg C",3,"Jan",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-01-31,NA,"Temperature, water"," ","deg C",0,"Jan",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-02-03,NA,"Temperature, water"," ","deg C",1,"Feb",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-02-08,NA,"Temperature, water"," ","deg C",0.5,"Feb",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-02-10,NA,"Temperature, water"," ","deg C",5,"Feb",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-02-15,NA,"Temperature, water"," ","deg C",5,"Feb",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-02-17,NA,"Temperature, water"," ","deg C",1,"Feb",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-02-22,NA,"Temperature, water"," ","deg C",4,"Feb",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-02-24,NA,"Temperature, water"," ","deg C",11,"Feb",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-03-01,NA,"Temperature, water"," ","deg C",6,"Mar",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-03-03,NA,"Temperature, water"," ","deg C",11,"Mar",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-03-07,NA,"Temperature, water"," ","deg C",9,"Mar",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-03-10,NA,"Temperature, water"," ","deg C",11,"Mar",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-03-14,NA,"Temperature, water"," ","deg C",14,"Mar",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-03-17,NA,"Temperature, water"," ","deg C",11,"Mar",NA,NA,NA,NA,NA,"Upstream"
