"agency","site_no","Date","HydrologicEvent","CharacteristicName","SampleFraction","Units","value","month"
"21NC01WQ","J1270000",1976-10-04,NA,"Temperature, water"," ","deg C",17,"Oct"
"21NC01WQ","J1270000",1976-10-07,NA,"Temperature, water"," ","deg C",22,"Oct"
"21NC01WQ","J1270000",1976-10-11,NA,"Temperature, water"," ","deg C",13,"Oct"
"21NC01WQ","J1270000",1976-10-14,NA,"Temperature, water"," ","deg C",13.2,"Oct"
"21NC01WQ","J1270000",1976-10-18,NA,"Temperature, water"," ","deg C",9.5,"Oct"
"21NC01WQ","J1270000",1976-10-21,NA,"Temperature, water"," ","deg C",11.8,"Oct"
"21NC01WQ","J1270000",1976-10-25,NA,"Temperature, water"," ","deg C",14,"Oct"
"21NC01WQ","J1270000",1976-10-28,NA,"Temperature, water"," ","deg C",7,"Oct"
"21NC01WQ","J1270000",1976-11-01,NA,"Temperature, water"," ","deg C",10,"Nov"
"21NC01WQ","J1270000",1976-11-04,NA,"Temperature, water"," ","deg C",10,"Nov"
"21NC01WQ","J1270000",1976-11-08,NA,"Temperature, water"," ","deg C",6,"Nov"
"21NC01WQ","J1270000",1976-11-11,NA,"Temperature, water"," ","deg C",7,"Nov"
"21NC01WQ","J1270000",1976-11-15,NA,"Temperature, water"," ","deg C",6,"Nov"
"21NC01WQ","J1270000",1976-11-18,NA,"Temperature, water"," ","deg C",6,"Nov"
"21NC01WQ","J1270000",1976-11-22,NA,"Temperature, water"," ","deg C",6,"Nov"
"21NC01WQ","J1270000",1976-11-26,NA,"Temperature, water"," ","deg C",7.9,"Nov"
"21NC01WQ","J1270000",1976-11-29,NA,"Temperature, water"," ","deg C",14.2,"Nov"
"21NC01WQ","J1270000",1976-12-02,NA,"Temperature, water"," ","deg C",5.2,"Dec"
"21NC01WQ","J1270000",1976-12-06,NA,"Temperature, water"," ","deg C",4.4,"Dec"
"21NC01WQ","J1270000",1976-12-07,NA,"Temperature, water"," ","deg C",9.5,"Dec"
"21NC01WQ","J1270000",1976-12-09,NA,"Temperature, water"," ","deg C",3,"Dec"
"21NC01WQ","J1270000",1976-12-13,NA,"Temperature, water"," ","deg C",8.8,"Dec"
"21NC01WQ","J1270000",1976-12-15,NA,"Temperature, water"," ","deg C",6.4,"Dec"
"21NC01WQ","J1270000",1976-12-16,NA,"Temperature, water"," ","deg C",9,"Dec"
"21NC01WQ","J1270000",1976-12-20,NA,"Temperature, water"," ","deg C",9,"Dec"
"21NC01WQ","J1270000",1976-12-27,NA,"Temperature, water"," ","deg C",2,"Dec"
"21NC01WQ","J1270000",1976-12-30,NA,"Temperature, water"," ","deg C",1,"Dec"
"21NC01WQ","J1270000",1977-01-03,NA,"Temperature, water"," ","deg C",3,"Jan"
"21NC01WQ","J1270000",1977-01-06,NA,"Temperature, water"," ","deg C",3,"Jan"
"21NC01WQ","J1270000",1977-01-07,NA,"Temperature, water"," ","deg C",1,"Jan"
"21NC01WQ","J1270000",1977-01-10,NA,"Temperature, water"," ","deg C",3.5,"Jan"
"21NC01WQ","J1270000",1977-01-13,NA,"Temperature, water"," ","deg C",0,"Jan"
"21NC01WQ","J1270000",1977-01-18,NA,"Temperature, water"," ","deg C",0,"Jan"
"21NC01WQ","J1270000",1977-01-20,NA,"Temperature, water"," ","deg C",0,"Jan"
"21NC01WQ","J1270000",1977-01-24,NA,"Temperature, water"," ","deg C",0,"Jan"
"21NC01WQ","J1270000",1977-01-27,NA,"Temperature, water"," ","deg C",3,"Jan"
"21NC01WQ","J1270000",1977-01-31,NA,"Temperature, water"," ","deg C",0,"Jan"
"21NC01WQ","J1270000",1977-02-03,NA,"Temperature, water"," ","deg C",1,"Feb"
"21NC01WQ","J1270000",1977-02-08,NA,"Temperature, water"," ","deg C",0.5,"Feb"
"21NC01WQ","J1270000",1977-02-10,NA,"Temperature, water"," ","deg C",5,"Feb"
"21NC01WQ","J1270000",1977-02-15,NA,"Temperature, water"," ","deg C",5,"Feb"
"21NC01WQ","J1270000",1977-02-17,NA,"Temperature, water"," ","deg C",1,"Feb"
"21NC01WQ","J1270000",1977-02-22,NA,"Temperature, water"," ","deg C",4,"Feb"
"21NC01WQ","J1270000",1977-02-24,NA,"Temperature, water"," ","deg C",11,"Feb"
"21NC01WQ","J1270000",1977-03-01,NA,"Temperature, water"," ","deg C",6,"Mar"
"21NC01WQ","J1270000",1977-03-03,NA,"Temperature, water"," ","deg C",11,"Mar"
"21NC01WQ","J1270000",1977-03-07,NA,"Temperature, water"," ","deg C",9,"Mar"
"21NC01WQ","J1270000",1977-03-10,NA,"Temperature, water"," ","deg C",11,"Mar"
"21NC01WQ","J1270000",1977-03-14,NA,"Temperature, water"," ","deg C",14,"Mar"
"21NC01WQ","J1270000",1977-03-17,NA,"Temperature, water"," ","deg C",11,"Mar"
"21NC01WQ","J1270000",1977-03-21,NA,"Temperature, water"," ","deg C",11,"Mar"
"21NC01WQ","J1270000",1977-03-24,NA,"Temperature, water"," ","deg C",12,"Mar"
"21NC01WQ","J1270000",1977-03-28,NA,"Temperature, water"," ","deg C",15,"Mar"
