"agency","site_no","Date","month","HydrologicEvent","SampleFraction","Inorganic_N","Nitrate","Mixed_N","TP","Temperature","TSS","Turbidity"
"USGS","0208675010",2011-07-20,"Jul","Routine sample","Dissolved",32,NA,NA,NA,NA,NA,NA
"USGS","0208675010",2011-07-20,"Jul","Routine sample","Total",NA,NA,200,41,NA,NA,NA
"USGS","0208675010",2011-07-20,"Jul","Routine sample",NA,NA,NA,NA,NA,934,NA,NA
"USGS","0208675010",2011-09-02,"Sep","Routine sample","Dissolved",42,NA,NA,NA,NA,NA,NA
"USGS","0208675010",2011-09-02,"Sep","Routine sample","Total",NA,NA,220,55,NA,NA,NA
"USGS","0208675010",2011-09-02,"Sep","Routine sample",NA,NA,NA,NA,NA,896,NA,NA
"USGS","0208675010",2011-09-28,"Sep","Routine sample","Dissolved",165,NA,NA,NA,NA,NA,NA
"USGS","0208675010",2011-09-28,"Sep","Routine sample","Total",NA,NA,280,112,NA,NA,844
"USGS","0208675010",2011-09-28,"Sep","Routine sample",NA,NA,NA,NA,NA,850,NA,NA
"USGS","0208675010",2011-10-26,"Oct","Routine sample","Total",NA,NA,NA,48,NA,NA,1241
"USGS","0208675010",2011-10-26,"Oct","Routine sample",NA,NA,NA,NA,NA,526,NA,NA
"USGS","0208675010",2011-11-28,"Nov","Routine sample","Total",NA,NA,NA,56,NA,NA,1214
"USGS","0208675010",2011-11-28,"Nov","Routine sample",NA,NA,NA,NA,NA,508,NA,NA
"USGS","0208675010",2011-12-29,"Dec","Routine sample","Dissolved",159,NA,NA,NA,NA,NA,NA
"USGS","0208675010",2011-12-29,"Dec","Routine sample","Total",NA,NA,272,83,NA,NA,478
"USGS","0208675010",2011-12-29,"Dec","Routine sample",NA,NA,NA,NA,NA,1718,NA,NA
"USGS","0208675010",2012-01-30,"Jan","Routine sample","Dissolved",122,NA,NA,NA,NA,NA,NA
"USGS","0208675010",2012-01-30,"Jan","Routine sample","Total",NA,NA,240,58,NA,NA,571
"USGS","0208675010",2012-01-30,"Jan","Routine sample",NA,NA,NA,NA,NA,1746,NA,NA
"USGS","0208675010",2012-02-23,"Feb","Routine sample","Dissolved",160,NA,NA,NA,NA,NA,NA
"USGS","0208675010",2012-02-23,"Feb","Routine sample","Total",NA,NA,280,69,NA,NA,1070
"USGS","0208675010",2012-02-23,"Feb","Routine sample",NA,NA,NA,NA,NA,416,NA,NA
"USGS","0208675010",2012-03-30,"Mar","Routine sample","Dissolved",63,NA,NA,NA,NA,NA,NA
"USGS","0208675010",2012-03-30,"Mar","Routine sample","Total",NA,NA,251,60,NA,NA,1423
"USGS","0208675010",2012-03-30,"Mar","Routine sample",NA,NA,NA,NA,NA,599,NA,NA
"USGS","0208675010",2012-04-25,"Apr","Routine sample","Dissolved",152,NA,NA,NA,NA,NA,NA
"USGS","0208675010",2012-04-25,"Apr","Routine sample","Total",NA,NA,278,72,NA,NA,1601
"USGS","0208675010",2012-04-25,"Apr","Routine sample",NA,NA,NA,NA,NA,527,NA,NA
"USGS","0208675010",2012-05-30,"May","Routine sample","Dissolved",121,NA,NA,NA,NA,NA,NA
"USGS","0208675010",2012-05-30,"May","Routine sample","Total",NA,NA,257,87,NA,NA,1570
"USGS","0208675010",2012-05-30,"May","Routine sample",NA,NA,NA,NA,NA,873,NA,NA
"USGS","0208675010",2012-06-29,"Jun","Routine sample","Total",NA,NA,NA,70,NA,NA,NA
"USGS","0208675010",2012-06-29,"Jun","Routine sample",NA,NA,NA,NA,NA,965,NA,NA
"USGS","02086849",1982-11-17,"Nov","Routine sample","Dissolved",240,NA,888,730,NA,NA,NA
"USGS","02086849",1982-11-17,"Nov","Routine sample","Total",251,232,684,1330.5,NA,NA,NA
"USGS","02086849",1982-11-17,"Nov","Routine sample",NA,NA,NA,NA,NA,2007,NA,NA
"USGS","02086849",1982-12-16,"Dec","Routine sample","Dissolved",209,NA,690,144,NA,NA,NA
"USGS","02086849",1982-12-16,"Dec","Routine sample","Total",268.333333333333,237,715.5,371.666666666667,NA,NA,NA
"USGS","02086849",1982-12-16,"Dec","Routine sample",NA,NA,NA,NA,NA,478,NA,NA
"USGS","02086849",1983-02-22,"Feb","Routine sample","Total",251,237,1069.5,1040.5,NA,NA,NA
"USGS","02086849",1983-02-22,"Feb","Routine sample",NA,NA,NA,NA,NA,1901,NA,NA
"USGS","02086849",1983-03-18,"Mar","Routine sample","Dissolved",177,NA,282,67,NA,NA,NA
"USGS","02086849",1983-03-18,"Mar","Routine sample","Total",211,193.5,1011,213.75,NA,NA,NA
"USGS","02086849",1983-03-18,"Mar","Routine sample",NA,NA,NA,NA,NA,456,NA,NA
"USGS","02086849",1983-05-09,"May","Routine sample","Dissolved",979,NA,548,758,NA,NA,NA
"USGS","02086849",1983-05-09,"May","Routine sample","Total",996,697,1221,1182,NA,NA,NA
"USGS","02086849",1983-05-09,"May","Routine sample",NA,NA,NA,NA,NA,575,NA,NA
"USGS","02086849",1983-08-01,"Aug","Routine sample","Total",619,598,1445,1042.5,NA,NA,NA
"USGS","02086849",1983-08-01,"Aug","Routine sample",NA,NA,NA,NA,NA,928,NA,NA
"USGS","02086849",1983-09-07,"Sep","Routine sample","Dissolved",401,NA,524,1570,NA,NA,NA
"USGS","02086849",1983-09-07,"Sep","Routine sample","Total",443,413,1221,1113,NA,NA,NA
"USGS","02086849",1983-09-07,"Sep","Routine sample",NA,NA,NA,NA,NA,909,NA,NA
"USGS","02086849",1983-09-26,"Sep","Routine sample","Total",646,629,631.5,1094.5,NA,NA,NA
"USGS","02086849",1983-09-26,"Sep","Routine sample",NA,NA,NA,NA,NA,592,NA,NA
"USGS","02086849",1983-10-24,"Oct","Routine sample","Total",374,370,781,302.5,NA,NA,NA
"USGS","02086849",1983-10-24,"Oct","Routine sample",NA,NA,NA,NA,NA,596,NA,NA
"USGS","02086849",1983-11-29,"Nov","Routine sample","Total",1423,1248,1026,703,NA,NA,NA
"USGS","02086849",1983-11-29,"Nov","Routine sample",NA,NA,NA,NA,NA,529,NA,NA
"USGS","02086849",1983-12-06,"Dec","Flood","Dissolved",200,NA,336,113,NA,NA,NA
"USGS","02086849",1983-12-06,"Dec","Flood","Total",241,232,1348.5,240.25,NA,NA,NA
"USGS","02086849",1983-12-06,"Dec","Flood",NA,NA,NA,NA,NA,467.5,NA,NA
"USGS","02086849",1984-01-24,"Jan","Routine sample","Total",271,241,1075,1248,NA,NA,NA
"USGS","02086849",1984-01-24,"Jan","Routine sample",NA,NA,NA,NA,NA,1591,NA,NA
"USGS","02086849",1984-02-23,"Feb","Flood","Dissolved",179,NA,306,59,NA,NA,NA
