"agency_cd.x","site_no.x","Date","X_00060_00003.x","X_00060_00003_cd.x","agency_cd.y","site_no.y","X_00060_00003.y","X_00060_00003_cd.y"
"USGS","02086849",2008-01-01,29.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-02,21.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-03,18,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-04,16.2,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-05,14.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-06,13.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-07,14.1,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-08,12.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-09,13.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-10,13.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-11,14.2,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-12,12.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-13,12.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-14,12.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-15,12.2,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-16,11.2,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-17,40.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-18,26.1,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-19,21.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-20,27.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-21,16.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-22,14.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-23,16.2,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-24,14.1,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-25,13.1,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-26,12.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-27,12.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-28,12.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-29,12.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-30,14.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-01-31,11.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-01,107,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-02,37.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-03,23.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-04,19.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-05,15.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-06,14.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-07,14.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-08,13.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-09,13,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-10,11.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-11,12.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-12,17.2,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-13,130,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-14,40.1,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-15,26.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-16,19.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-17,17.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-18,51.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-19,23.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-20,19.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-21,17.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-22,40.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-23,25.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-24,19.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-25,20,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-26,53.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-27,34,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-28,23.2,"A",NA,NA,NA,NA
"USGS","02086849",2008-02-29,17.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-01,15.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-02,16,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-03,14.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-04,74.2,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-05,426,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-06,44.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-07,386,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-08,193,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-09,62.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-10,41.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-11,32.2,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-12,25.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-13,22.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-14,19.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-15,90.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-16,93.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-17,34.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-18,25.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-19,21.2,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-20,33,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-21,18.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-22,18.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-23,16,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-24,15.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-25,14.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-26,16.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-27,15.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-28,15,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-29,17,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-30,22.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-03-31,152,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-01,118,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-02,50.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-03,36.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-04,102,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-05,361,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-06,110,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-07,51.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-08,34.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-09,30.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-10,26.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-11,23.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-12,24.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-13,23.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-14,18.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-15,19.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-16,16.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-17,15.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-18,16.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-19,15.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-20,65.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-21,45.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-22,28,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-23,25.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-24,17.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-25,17.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-26,16.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-27,54.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-28,220,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-29,84.1,"A",NA,NA,NA,NA
"USGS","02086849",2008-04-30,31.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-01,23.2,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-02,20.1,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-03,18,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-04,16.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-05,15.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-06,15.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-07,14.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-08,14.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-09,21.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-10,15.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-11,121,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-12,53.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-13,22.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-14,17,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-15,16,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-16,161,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-17,42.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-18,30.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-19,30.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-20,43,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-21,34.1,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-22,19.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-23,18.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-24,17.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-25,15.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-26,14.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-27,15.1,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-28,30,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-29,21.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-30,15.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-31,15.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-01,56.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-02,40,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-03,16.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-04,14.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-05,13.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-06,13,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-07,12.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-08,12.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-09,12.2,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-10,11.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-11,11.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-12,11.1,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-13,11.1,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-14,10.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-15,12.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-16,11.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-17,19.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-18,11.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-19,12.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-20,8.62,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-21,14.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-22,64.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-23,34.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-24,13.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-25,12.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-26,11.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-27,10.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-28,15,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-29,16.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-30,415,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-01,25.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-02,18.1,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-03,15.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-04,46.2,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-05,194,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-06,358,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-07,133,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-08,33.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-09,67.2,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-10,48.1,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-11,39.2,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-12,20.5,"A",NA,NA,NA,NA
