"agency","site_no","Date","HydrologicEvent","SampleFraction","Units","Nitrate","Nitrogen","Phosphorus","Temperature","month","agency_cd.x","site_no.x","Discharge.G","D.Approval.Code.G","Gage.Height.G","GH.Approval.Code.G","agency_cd.y","site_no.y","Discharge.C","D.Approval.Code.C","Gage.Height.C","GH.Approval.Code.C"
"21NC01WQ","J1270000",1976-10-04,NA," ","deg C",NA,NA,NA,17,"Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-10-07,NA," ","deg C",NA,NA,NA,22,"Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-10-11,NA," ","deg C",NA,NA,NA,13,"Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-10-14,NA," ","deg C",NA,NA,NA,13.2,"Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-10-18,NA," ","deg C",NA,NA,NA,9.5,"Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-10-21,NA," ","deg C",NA,NA,NA,11.8,"Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-10-25,NA," ","deg C",NA,NA,NA,14,"Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-10-28,NA," ","deg C",NA,NA,NA,7,"Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-11-01,NA," ","deg C",NA,NA,NA,10,"Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-11-04,NA," ","deg C",NA,NA,NA,10,"Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-11-08,NA," ","deg C",NA,NA,NA,6,"Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-11-11,NA," ","deg C",NA,NA,NA,7,"Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-11-15,NA," ","deg C",NA,NA,NA,6,"Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-11-18,NA," ","deg C",NA,NA,NA,6,"Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-11-22,NA," ","deg C",NA,NA,NA,6,"Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-11-26,NA," ","deg C",NA,NA,NA,7.9,"Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21NC01WQ","J1270000",1976-11-29,NA," ","deg C",NA,NA,NA,14.2,"Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
