"OrganizationIdentifier","ActivityStartDate","ActivityStartTime.Time","MonitoringLocationIdentifier","HydrologicEvent","HydrologicCondition","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","ResultStatusIdentifier","ResultValueTypeName"
"USGS-NC","5/6/14","15:20:00","USGS-02086849","Routine sample","Stable, normal stage","RBP Stream width",NA,"38","ft","Accepted","Actual"
"USGS-NC","5/12/14","16:40:00","USGS-02086849","Routine sample","Stable, low stage","RBP Stream width",NA,"40","ft","Accepted","Actual"
"USGS-NC","4/29/14","12:00:00","USGS-02086849","Routine sample","Not determined","RBP Stream width",NA,"50","ft","Accepted","Actual"
"USGS-NC","4/23/14","10:30:00","USGS-02086849","Routine sample","Not determined","RBP Stream width",NA,"50","ft","Accepted","Actual"
"USGS-NC","6/3/14","9:00:00","USGS-02086849","Routine sample","Not determined","RBP Stream width",NA,"50","ft","Accepted","Actual"
"USGS-NC","5/20/14","14:00:00","USGS-02086849","Routine sample","Not determined","RBP Stream width",NA,"50","ft","Accepted","Actual"
"USGS-NC","4/8/14","13:30:00","USGS-02086849","Routine sample","Stable, high stage","RBP Stream width",NA,"75","ft","Accepted","Actual"
"USGS-NC","9/6/08","12:45:00","USGS-02086849","Storm","Falling stage","RBP Stream width",NA,"78","ft","Accepted","Actual"
"USGS-NC","12/6/16","14:30:00","USGS-0208675009","Storm","Rising stage","Temperature, water",NA,"10.4","deg C","Accepted","Actual"
"USGS-NC","3/27/18","12:15:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"10.4","deg C","Accepted","Actual"
"USGS-NC","3/18/83","10:05:00","USGS-02086849","Routine sample","Not determined","Temperature, water",NA,"10.5","deg C","Historical","Actual"
"USGS-NC","2/23/12","11:45:00","USGS-0208675010","Routine sample","Falling stage","Temperature, water",NA,"10.8","deg C","Preliminary","Actual"
"USGS-NC","3/25/86","9:45:00","USGS-02086849","Routine sample","Falling stage","Temperature, water",NA,"12","deg C","Historical","Actual"
"USGS-NC","11/18/92","15:15:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"12","deg C","Historical","Actual"
"USGS-NC","3/25/87","10:30:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"12","deg C","Historical","Actual"
"USGS-NC","2/19/86","15:50:00","USGS-02086849","Routine sample","Rising stage","Temperature, water",NA,"12","deg C","Historical","Actual"
"USGS-NC","3/18/83","17:25:00","USGS-02086849","Routine sample","Not determined","Temperature, water",NA,"13","deg C","Historical","Actual"
"USGS-NC","4/9/84","10:30:00","USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"13","deg C","Historical","Actual"
"USGS-NC","4/6/89","12:40:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"13.3","deg C","Historical","Actual"
"USGS-NC","3/2/07","8:45:00","USGS-02086849","Storm","Falling stage","Temperature, water",NA,"13.3","deg C","Accepted","Actual"
"USGS-NC","3/29/94","9:45:00","USGS-0208682450","Storm","Falling stage","Temperature, water",NA,"13.5","deg C","Historical","Actual"
"USGS-NC","10/26/11","10:35:00","USGS-0208675010","Routine sample","Stable, low stage","Temperature, water",NA,"14.2","deg C","Preliminary","Actual"
"USGS-NC","4/8/14","13:30:00","USGS-02086849","Routine sample","Stable, high stage","Temperature, water",NA,"14.2","deg C","Accepted","Actual"
"USGS-NC","4/25/12","12:30:00","USGS-0208675010","Routine sample","Stable, normal stage","Temperature, water",NA,"14.3","deg C","Preliminary","Actual"
"USGS-NC","4/22/91","14:00:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"14.5","deg C","Historical","Actual"
"USGS-NC","11/29/83","10:45:00","USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"14.5","deg C","Historical","Actual"
"USGS-NC","4/20/90","10:20:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"15","deg C","Historical","Actual"
"USGS-NC","4/28/93","16:00:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"16","deg C","Historical","Actual"
"USGS-NC","4/29/14","12:00:00","USGS-02086849","Routine sample","Not determined","Temperature, water",NA,"16.3","deg C","Accepted","Actual"
"USGS-NC","4/23/14","10:30:00","USGS-02086849","Routine sample","Not determined","Temperature, water",NA,"16.6","deg C","Accepted","Actual"
"USGS-NC","9/26/83","8:30:00","USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"17","deg C","Historical","Actual"
"USGS-NC","5/19/09","11:30:00","USGS-02086849","Routine sample","Not determined","Temperature, water",NA,"17.1","deg C","Accepted","Actual"
"USGS-NC","10/24/83","8:00:00","USGS-02086849","Routine sample","Falling stage","Temperature, water",NA,"17.5","deg C","Historical","Actual"
"USGS-NC","4/21/86","10:10:00","USGS-02086849","Routine sample","Falling stage","Temperature, water",NA,"17.5","deg C","Historical","Actual"
"USGS-NC","3/30/12","12:10:00","USGS-0208675010","Routine sample","Stable, low stage","Temperature, water",NA,"17.7","deg C","Preliminary","Actual"
"USGS-NC","5/20/93","10:00:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"19","deg C","Historical","Actual"
"USGS-NC","6/3/14","9:00:00","USGS-02086849","Routine sample","Not determined","Temperature, water",NA,"19.6","deg C","Accepted","Actual"
"USGS-NC","5/20/14","14:00:00","USGS-02086849","Routine sample","Not determined","Temperature, water",NA,"19.7","deg C","Accepted","Actual"
"USGS-NC","10/8/16","16:45:00","USGS-0208675009","Storm","Peak stage","Temperature, water",NA,"20","deg C","Accepted","Actual"
"USGS-NC","6/14/06","14:30:00","USGS-02086849","Storm","Peak stage","Temperature, water",NA,"20.7","deg C","Accepted","Actual"
"USGS-NC","4/21/92","15:30:00","USGS-02086849","Storm","Peak stage","Temperature, water",NA,"21","deg C","Historical","Actual"
"USGS-NC","5/26/93","12:00:00","USGS-02086849","Storm","Rising stage","Temperature, water",NA,"21","deg C","Historical","Actual"
"USGS-NC","9/24/84","9:15:00","USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"21","deg C","Historical","Actual"
"USGS-NC","5/6/14","15:20:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"21.3","deg C","Accepted","Actual"
"USGS-NC","6/5/84","10:30:00","USGS-02086849","Routine sample","Falling stage","Temperature, water",NA,"21.5","deg C","Historical","Actual"
"USGS-NC","8/20/86","13:40:00","USGS-02086849","Routine sample","Rising stage","Temperature, water",NA,"22","deg C","Historical","Actual"
"USGS-NC","10/23/84","14:05:00","USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"22.5","deg C","Historical","Actual"
"USGS-NC","9/6/08","12:45:00","USGS-02086849","Storm","Falling stage","Temperature, water",NA,"22.6","deg C","Accepted","Actual"
"USGS-NC","8/23/84","10:45:00","USGS-02086849","Routine sample","Rising stage","Temperature, water",NA,"23","deg C","Historical","Actual"
"USGS-NC","8/11/92","15:00:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"23","deg C","Historical","Actual"
"USGS-NC","8/23/94","14:45:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"24","deg C","Historical","Actual"
"USGS-NC","7/12/16","9:45:00","USGS-0208682450","Routine sample","Stable, normal stage","Temperature, water",NA,"24.4","deg C","Accepted","Actual"
"USGS-NC","6/18/85","9:40:00","USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"24.5","deg C","Historical","Actual"
"USGS-NC","7/12/16","11:00:00","USGS-02086835","Routine sample","Stable, normal stage","Temperature, water",NA,"25.3","deg C","Accepted","Actual"
"USGS-NC","7/12/16","11:45:00","USGS-02086837","Routine sample","Stable, normal stage","Temperature, water",NA,"25.7","deg C","Accepted","Actual"
"USGS-NC","7/12/16","13:10:00","USGS-360226078512801","Routine sample","Stable, normal stage","Temperature, water",NA,"25.7","deg C","Accepted","Actual"
"USGS-NC","7/22/85","14:15:00","USGS-02086849","Routine sample","Rising stage","Temperature, water",NA,"26","deg C","Historical","Actual"
"USGS-NC","8/1/83","9:05:00","USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"27","deg C","Historical","Actual"
"USGS-NC","7/12/16","15:20:00","USGS-02086841","Routine sample","Stable, normal stage","Temperature, water",NA,"27.2","deg C","Accepted","Actual"
"USGS-NC","1/24/84","9:15:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"6.5","deg C","Historical","Actual"
"USGS-NC","3/27/18","11:00:00","USGS-360211078513701","Routine sample","Stable, normal stage","Temperature, water",NA,"7","deg C","Accepted","Actual"
"USGS-NC","1/22/86","9:35:00","USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"8","deg C","Historical","Actual"
