"MonitoringLocationIdentifier","ActivityStartDate","HydrologicEvent","CharacteristicName","meanresult"
"21NC01WQ-J1270000",1976-10-04,"","Temperature, water",1117
"21NC01WQ-J1270000",1976-10-07,"","Temperature, water",1307.5
"21NC01WQ-J1270000",1976-10-11,"","Temperature, water",1015.5
"21NC01WQ-J1270000",1976-10-14,"","Temperature, water",1017.5
"21NC01WQ-J1270000",1976-10-18,"","Temperature, water",1707.5
"21NC01WQ-J1270000",1976-10-21,"","Temperature, water",979
"21NC01WQ-J1270000",1976-10-25,"","Temperature, water",1034
"21NC01WQ-J1270000",1976-10-28,"","Temperature, water",1523.5
"21NC01WQ-J1270000",1976-11-01,"","Temperature, water",935
"21NC01WQ-J1270000",1976-11-04,"","Temperature, water",935
"21NC01WQ-J1270000",1976-11-08,"","Temperature, water",1439
"21NC01WQ-J1270000",1976-11-11,"","Temperature, water",1523.5
"21NC01WQ-J1270000",1976-11-15,"","Temperature, water",1439
"21NC01WQ-J1270000",1976-11-18,"","Temperature, water",1439
"21NC01WQ-J1270000",1976-11-22,"","Temperature, water",1439
"21NC01WQ-J1270000",1976-11-26,"","Temperature, water",1569
"21NC01WQ-J1270000",1976-11-29,"","Temperature, water",1035.5
"21NC01WQ-J1270000",1976-12-02,"","Temperature, water",1363.5
"21NC01WQ-J1270000",1976-12-06,"","Temperature, water",1221.5
"21NC01WQ-J1270000",1976-12-07,"","Temperature, water",1707.5
"21NC01WQ-J1270000",1976-12-09,"","Temperature, water",1077
"21NC01WQ-J1270000",1976-12-13,"","Temperature, water",1644.5
"21NC01WQ-J1270000",1976-12-15,"","Temperature, water",1454
"21NC01WQ-J1270000",1976-12-16,"","Temperature, water",1692
"21NC01WQ-J1270000",1976-12-20,"","Temperature, water",1692
"21NC01WQ-J1270000",1976-12-27,"","Temperature, water",918
"21NC01WQ-J1270000",1976-12-30,"","Temperature, water",712
"21NC01WQ-J1270000",1977-01-03,"","Temperature, water",1077
"21NC01WQ-J1270000",1977-01-06,"","Temperature, water",1077
"21NC01WQ-J1270000",1977-01-07,"","Temperature, water",712
"21NC01WQ-J1270000",1977-01-10,"","Temperature, water",1106.5
"21NC01WQ-J1270000",1977-01-13,"","Temperature, water",551.5
"21NC01WQ-J1270000",1977-01-18,"","Temperature, water",551.5
"21NC01WQ-J1270000",1977-01-20,"","Temperature, water",551.5
"21NC01WQ-J1270000",1977-01-24,"","Temperature, water",551.5
"21NC01WQ-J1270000",1977-01-27,"","Temperature, water",1077
"21NC01WQ-J1270000",1977-01-31,"","Temperature, water",551.5
"21NC01WQ-J1270000",1977-02-03,"","Temperature, water",712
"21NC01WQ-J1270000",1977-02-08,"","Temperature, water",668
"21NC01WQ-J1270000",1977-02-10,"","Temperature, water",1356
"21NC01WQ-J1270000",1977-02-15,"","Temperature, water",1356
"21NC01WQ-J1270000",1977-02-17,"","Temperature, water",712
"21NC01WQ-J1270000",1977-02-22,"","Temperature, water",1207.5
"21NC01WQ-J1270000",1977-02-24,"","Temperature, water",963
"21NC01WQ-J1270000",1977-03-01,"","Temperature, water",1439
"21NC01WQ-J1270000",1977-03-03,"","Temperature, water",963
"21NC01WQ-J1270000",1977-03-07,"","Temperature, water",1692
"21NC01WQ-J1270000",1977-03-10,"","Temperature, water",963
"21NC01WQ-J1270000",1977-03-14,"","Temperature, water",1034
"21NC01WQ-J1270000",1977-03-17,"","Temperature, water",963
"21NC01WQ-J1270000",1977-03-21,"","Temperature, water",963
"21NC01WQ-J1270000",1977-03-24,"","Temperature, water",992.5
"21NC01WQ-J1270000",1977-03-28,"","Temperature, water",1055
"21NC01WQ-J1270000",1977-03-31,"","Temperature, water",1095
"21NC01WQ-J1270000",1977-04-04,"","Temperature, water",1055
"21NC01WQ-J1270000",1977-04-07,"","Temperature, water",935
"21NC01WQ-J1270000",1977-04-12,"","Temperature, water",1117
"21NC01WQ-J1270000",1977-04-14,"","Temperature, water",1140
"21NC01WQ-J1270000",1977-04-18,"","Temperature, water",1117
"21NC01WQ-J1270000",1977-04-21,"","Temperature, water",1175
"21NC01WQ-J1270000",1977-04-25,"","Temperature, water",1117
"21NC01WQ-J1270000",1977-04-28,"","Temperature, water",1055
"21NC01WQ-J1270000",1977-05-02,"","Temperature, water",1117
"21NC01WQ-J1270000",1977-05-05,"","Temperature, water",1162.5
"21NC01WQ-J1270000",1977-05-09,"","Temperature, water",1055
"21NC01WQ-J1270000",1977-05-12,"","Temperature, water",1015.5
"21NC01WQ-J1270000",1977-05-16,"","Temperature, water",1123
"21NC01WQ-J1270000",1977-05-19,"","Temperature, water",1254.5
"21NC01WQ-J1270000",1977-05-23,"","Temperature, water",1307.5
"21NC01WQ-J1270000",1977-05-31,"","Temperature, water",1327.5
"21NC01WQ-J1270000",1977-06-02,"","Temperature, water",1307.5
"21NC01WQ-J1270000",1977-06-06,"","Temperature, water",1307.5
"21NC01WQ-J1270000",1977-06-09,"","Temperature, water",1235.5
"21NC01WQ-J1270000",1977-06-13,"","Temperature, water",1314
"21NC01WQ-J1270000",1977-06-20,"","Temperature, water",1351
"21NC01WQ-J1270000",1977-07-07,"","Temperature, water",1401
"21NC01WQ-J1270000",1977-08-18,"","Temperature, water",1307.5
"21NC01WQ-J1270000",1977-08-23,"","Temperature, water",1336
"21NC01WQ-J1270000",1977-08-25,"","Temperature, water",1314
"21NC01WQ-J1270000",1977-08-30,"","Temperature, water",1351
"21NC01WQ-J1270000",1977-09-06,"","Temperature, water",1351
"21NC01WQ-J1270000",1977-09-13,"","Temperature, water",1162.5
"21NC01WQ-J1270000",1977-09-15,"","Temperature, water",1327.5
"21NC01WQ-J1270000",1977-09-20,"","Temperature, water",1351
"21NC01WQ-J1270000",1977-09-22,"","Temperature, water",1295
"21NC01WQ-J1270000",1977-09-27,"","Temperature, water",1336
"21NC01WQ-J1270000",1977-09-29,"","Temperature, water",1146.5
"21NC01WQ-J1290000",1969-07-14,"","Temperature, water",1394.5
"21NC01WQ-J1290000",1969-08-21,"","Temperature, water",1422
"21NC01WQ-J1290000",1970-07-07,"","Temperature, water",1394.5
"21NC01WQ-J1290000",1970-08-31,"","Temperature, water",1544
"21NC01WQ-J1290000",1970-11-17,"","Temperature, water",992.5
"21NC01WQ-J1290000",1970-11-17,"","Turbidity",1348
"21NC01WQ-J1290000",1971-04-20,"","Temperature, water",1254.5
"21NC01WQ-J1290000",1971-06-28,"","Temperature, water",1530
"21NC01WQ-J1290000",1971-08-04,"","Temperature, water",1544
"21NC01WQ-J1290000",1971-09-08,"","Temperature, water",1376
"21NC01WQ-J1290000",1972-05-25,"","Temperature, water",1162.5
"21NC01WQ-J1290000",1972-07-24,"","Temperature, water",1517
"21NC01WQ-J1290000",1973-08-14,"","Temperature, water",1456.5
"21NC01WQ-J1290000",1974-11-05,"","Temperature, water",1162.5
"21NC01WQ-J1290000",1975-01-10,"","Temperature, water",1628.5
"21NC01WQ-J1290000",1975-01-10,"","Turbidity",1158
"21NC01WQ-J1290000",1975-02-05,"","Temperature, water",1457
"21NC01WQ-J1290000",2068-08-19,"","Temperature, water",1530
"21NC01WQ-J1290000",2068-08-28,"","Temperature, water",1254.5
"21NC01WQ-J1330000",1969-07-14,"","Temperature, water",1376
"21NC01WQ-J1330000",1969-08-21,"","Temperature, water",1394.5
"21NC01WQ-J1330000",1970-07-07,"","Temperature, water",1376
"21NC01WQ-J1330000",1970-08-31,"","Temperature, water",1517
"21NC01WQ-J1330000",1970-11-17,"","Temperature, water",1055
"21NC01WQ-J1330000",1970-11-17,"","Turbidity",1348
"21NC01WQ-J1330000",1971-04-20,"","Temperature, water",1307.5
"21NC01WQ-J1330000",1971-06-28,"","Temperature, water",1441.5
"21NC01WQ-J1330000",1971-08-04,"","Temperature, water",1530
"21NC01WQ-J1330000",1971-09-08,"","Temperature, water",1327.5
"21NC01WQ-J1330000",1972-05-25,"","Temperature, water",1162.5
"21NC01WQ-J1330000",1972-07-24,"","Temperature, water",1517
"21NC01WQ-J1330000",1973-08-14,"","Temperature, water",1441.5
"21NC01WQ-J1330000",1974-02-28,"","Temperature, water",1628.5
"21NC01WQ-J1330000",1974-09-25,"","Temperature, water",1162.5
"21NC01WQ-J1330000",1974-10-08,"","Temperature, water",1140
"21NC01WQ-J1330000",1974-10-08,"","Turbidity",502
"21NC01WQ-J1330000",1974-11-05,"","Temperature, water",1240.5
"21NC01WQ-J1330000",1974-12-05,"","Temperature, water",1692
"21NC01WQ-J1330000",1974-12-05,"","Turbidity",928
"21NC01WQ-J1330000",1975-01-10,"","Temperature, water",1628.5
"21NC01WQ-J1330000",1975-01-10,"","Turbidity",1188
"21NC01WQ-J1330000",1975-01-21,"","Temperature, water",1356
"21NC01WQ-J1330000",1975-02-05,"","Temperature, water",1523.5
"21NC01WQ-J1330000",1975-02-26,"","Temperature, water",992.5
"21NC01WQ-J1330000",1975-03-06,"","Temperature, water",1015.5
"21NC01WQ-J1330000",1975-03-12,"","Temperature, water",963
"21NC01WQ-J1330000",1975-03-17,"","Temperature, water",1628.5
"21NC01WQ-J1330000",1975-03-25,"","Temperature, water",1059
"21NC01WQ-J1330000",1975-04-07,"","Temperature, water",1140
"21NC01WQ-J1330000",1975-05-12,"","Temperature, water",1254.5
"21NC01WQ-J1330000",1975-08-25,"","Temperature, water",1327.5
"21NC01WQ-J1330000",1975-09-22,"","Temperature, water",1254.5
"21NC01WQ-J1330000",1975-09-22,"","Turbidity",778
"21NC01WQ-J1330000",1975-11-20,"","Temperature, water",1001.5
"21NC01WQ-J1330000",1975-11-20,"","Turbidity",1070
"21NC01WQ-J1330000",1976-01-15,"","Temperature, water",1356
"21NC01WQ-J1330000",1976-01-15,"","Turbidity",1779
"21NC01WQ-J1330000",1976-02-04,"","Temperature, water",1628.5
"21NC01WQ-J1330000",1976-03-15,"","Temperature, water",992.5
"21NC01WQ-J1330000",1976-03-15,"","Turbidity",888
"21NC01WQ-J1330000",1976-04-29,"","Temperature, water",1254.5
"21NC01WQ-J1330000",1976-04-29,"","Turbidity",548
"21NC01WQ-J1330000",1976-05-26,"","Temperature, water",1095
"21NC01WQ-J1330000",1976-05-26,"","Turbidity",778
"21NC01WQ-J1330000",1976-06-21,"","Temperature, water",1376
"21NC01WQ-J1330000",1976-06-21,"","Turbidity",787
"21NC01WQ-J1330000",1976-07-20,"","Temperature, water",1376
"21NC01WQ-J1330000",1976-07-20,"","Turbidity",778
"21NC01WQ-J1330000",1976-08-10,"","Temperature, water",1456.5
"21NC01WQ-J1330000",1976-08-10,"","Turbidity",778
"21NC01WQ-J1330000",1976-09-30,"","Temperature, water",1327.5
"21NC01WQ-J1330000",1976-10-19,"","Temperature, water",992.5
"21NC01WQ-J1330000",1976-10-19,"","Turbidity",1273
"21NC01WQ-J1330000",1976-11-23,"","Temperature, water",1523.5
"21NC01WQ-J1330000",1976-11-23,"","Turbidity",1070
"21NC01WQ-J1330000",1976-12-01,"","Temperature, water",1523.5
"21NC01WQ-J1330000",1976-12-01,"","Turbidity",778
"21NC01WQ-J1330000",1977-01-27,"","Temperature, water",1439
"21NC01WQ-J1330000",1977-02-22,"","Temperature, water",1439
"21NC01WQ-J1330000",1977-02-22,"","Turbidity",778
"21NC01WQ-J1330000",1977-03-10,"","Temperature, water",992.5
"21NC01WQ-J1330000",1977-03-10,"","Turbidity",888
"21NC01WQ-J1330000",1977-04-21,"","Temperature, water",1235.5
"21NC01WQ-J1330000",1977-04-21,"","Turbidity",1070
"21NC01WQ-J1330000",1977-05-31,"","Temperature, water",1254.5
"21NC01WQ-J1330000",1977-05-31,"","Turbidity",1070
"21NC01WQ-J1330000",1977-07-12,"","Temperature, water",1517
"21NC01WQ-J1330000",1977-07-12,"","Turbidity",1070
"21NC01WQ-J1330000",1977-08-16,"","Temperature, water",1441.5
"21NC01WQ-J1330000",1977-08-16,"","Turbidity",778
"21NC01WQ-J1330000",1977-09-14,"","Temperature, water",1327.5
"21NC01WQ-J1330000",1977-09-14,"","Turbidity",1273
"21NC01WQ-J1330000",1977-10-06,"","Temperature, water",1095
"21NC01WQ-J1330000",1977-10-06,"","Turbidity",401
"21NC01WQ-J1330000",1977-11-03,"","Temperature, water",1140
"21NC01WQ-J1330000",1977-11-03,"","Turbidity",1273
"21NC01WQ-J1330000",1977-12-07,"","Temperature, water",1439
"21NC01WQ-J1330000",1978-01-26,"","Temperature, water",1207.5
"21NC01WQ-J1330000",1978-01-26,"","Turbidity",830
"21NC01WQ-J1330000",1978-02-21,"","Temperature, water",1439
"21NC01WQ-J1330000",1978-02-21,"","Turbidity",1911
"21NC01WQ-J1330000",1978-03-28,"","Temperature, water",977.75
"21NC01WQ-J1330000",1978-03-28,"","Turbidity",419
"21NC01WQ-J1330000",1978-04-12,"","Temperature, water",1140
"21NC01WQ-J1330000",1978-04-12,"","Turbidity",778
"21NC01WQ-J1330000",1978-05-25,"","Temperature, water",1376
"21NC01WQ-J1330000",1978-06-21,"","Temperature, water",1376
"21NC01WQ-J1330000",1978-06-21,"","Turbidity",778
"21NC01WQ-J1330000",1978-07-12,"","Temperature, water",1307.5
"21NC01WQ-J1330000",1978-07-12,"","Turbidity",1423
"21NC01WQ-J1330000",1978-08-16,"","Temperature, water",1422
"21NC01WQ-J1330000",1978-08-16,"","Turbidity",1273
"21NC01WQ-J1330000",1978-10-11,"","Temperature, water",1015.5
"21NC01WQ-J1330000",1978-11-20,"","Temperature, water",992.5
"21NC01WQ-J1330000",1978-12-11,"","Temperature, water",935
"21NC01WQ-J1330000",1979-01-24,"","Temperature, water",1523.5
"21NC01WQ-J1330000",1979-02-13,"","Temperature, water",1207.5
"21NC01WQ-J1330000",1979-03-20,"","Temperature, water",1034
"21NC01WQ-J1330000",1979-04-18,"","Temperature, water",1095
"21NC01WQ-J1330000",1979-05-05,"","Temperature, water",1162.5
"21NC01WQ-J1330000",1979-05-08,"","Temperature, water",1351
"21NC01WQ-J1330000",1979-07-13,"","Temperature, water",1381.5
"21NC01WQ-J1330000",1979-08-07,"","Temperature, water",1517
"21NC01WQ-J1330000",1979-09-17,"","Temperature, water",1254.5
"21NC01WQ-J1330000",1979-10-10,"","Temperature, water",1055
"21NC01WQ-J1330000",1979-11-27,"","Temperature, water",1059
"21NC01WQ-J1330000",1979-12-03,"","Temperature, water",1439
"21NC01WQ-J1330000",1980-01-15,"","Temperature, water",992.5
"21NC01WQ-J1330000",1980-02-04,"","Temperature, water",1356
"21NC01WQ-J1330000",1980-03-28,"","Temperature, water",1055
"21NC01WQ-J1330000",1980-03-28,"","Turbidity",778
"21NC01WQ-J1330000",1980-04-08,"","Temperature, water",1095
"21NC01WQ-J1330000",1980-04-08,"","Turbidity",1469
"21NC01WQ-J1330000",1980-05-13,"","Temperature, water",1376
"21NC01WQ-J1330000",1980-05-13,"","Turbidity",401
"21NC01WQ-J1330000",1980-06-17,"","Temperature, water",1254.5
"21NC01WQ-J1330000",1980-06-17,"","Turbidity",778
"21NC01WQ-J1330000",1980-07-11,"","Temperature, water",1394.5
"21NC01WQ-J1330000",1980-07-11,"","Turbidity",1528
"21NC01WQ-J1330000",1980-08-26,"","Temperature, water",1376
"21NC01WQ-J1330000",1980-08-26,"","Turbidity",401
"21NC01WQ-J1330000",1980-09-22,"","Temperature, water",1517
"21NC01WQ-J1330000",1980-09-22,"","Turbidity",548
"21NC01WQ-J1330000",1980-10-13,"","Temperature, water",1095
"21NC01WQ-J1330000",1980-10-13,"","Turbidity",1892
"21NC01WQ-J1330000",1980-11-19,"","Temperature, water",1692
"21NC01WQ-J1330000",1980-11-19,"","Turbidity",1143
"21NC01WQ-J1330000",1980-12-10,"","Temperature, water",935
"21NC01WQ-J1330000",1980-12-10,"","Turbidity",1070
"21NC01WQ-J1330000",1981-01-20,"","Temperature, water",1439
"21NC01WQ-J1330000",1981-01-20,"","Turbidity",1989
"21NC01WQ-J1330000",1981-02-11,"","Temperature, water",992.5
"21NC01WQ-J1330000",1981-02-11,"","Turbidity",1277
"21NC01WQ-J1330000",1981-03-16,"","Temperature, water",992.5
"21NC01WQ-J1330000",1981-03-16,"","Turbidity",401
"21NC01WQ-J1330000",1981-04-13,"","Temperature, water",1117
"21NC01WQ-J1330000",1981-04-13,"","Turbidity",1711
"21NC01WQ-J1330000",1981-05-27,"","Temperature, water",1254.5
"21NC01WQ-J1330000",1981-06-22,"","Temperature, water",1441.5
"21NC01WQ-J1330000",1981-06-22,"","Turbidity",401
