"MonitoringLocationIdentifier","ActivityStartDate","HydrologicEvent","Inorganic nitrogen (nitrate and nitrite)","Nitrate","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Phosphorus","Temperature, water","Turbidity"
"USGS-0208675010",2011-07-20,"Routine sample",32,NA,200,41,934,NA
"USGS-0208675010",2011-09-02,"Routine sample",42,NA,220,55,896,NA
"USGS-0208675010",2011-09-28,"Routine sample",165,NA,280,112,850,844
"USGS-0208675010",2011-10-26,"Routine sample",1,NA,1,48,526,1241
"USGS-0208675010",2011-11-28,"Routine sample",1,NA,1,56,508,1214
"USGS-0208675010",2011-12-29,"Routine sample",159,NA,272,83,1718,478
"USGS-0208675010",2012-01-30,"Routine sample",122,NA,240,58,1746,571
"USGS-0208675010",2012-02-23,"Routine sample",160,NA,280,69,416,1070
"USGS-0208675010",2012-03-30,"Routine sample",63,NA,251,60,599,1423
"USGS-0208675010",2012-04-25,"Routine sample",152,NA,278,72,527,1601
"USGS-0208675010",2012-05-30,"Routine sample",121,NA,257,87,873,1570
"USGS-0208675010",2012-06-29,"Routine sample",1,NA,1,70,965,NA
"USGS-02086849",1982-11-17,"Routine sample",245.5,232,752,1130.33333333333,2007,NA
"USGS-02086849",1982-12-16,"Routine sample",253.5,237,711.857142857143,339.142857142857,478,NA
"USGS-02086849",1983-02-22,"Routine sample",251,237,1069.5,1040.5,1901,NA
"USGS-02086849",1983-03-18,"Routine sample",199.666666666667,193.5,865.2,184.4,456,NA
"USGS-02086849",1983-05-09,"Routine sample",987.5,697,996.666666666667,1040.66666666667,575,NA
"USGS-02086849",1983-08-01,"Routine sample",619,598,1445,1042.5,928,NA
"USGS-02086849",1983-09-07,"Routine sample",422,413,988.666666666667,1265.33333333333,909,NA
"USGS-02086849",1983-09-26,"Routine sample",646,629,631.5,1094.5,592,NA
"USGS-02086849",1983-10-24,"Routine sample",374,370,781,302.5,596,NA
"USGS-02086849",1983-11-29,"Routine sample",1423,1248,1026,703,529,NA
"USGS-02086849",1983-12-06,"Flood",227.333333333333,232,1146,214.8,467.5,NA
"USGS-02086849",1984-01-24,"Routine sample",271,241,1075,1248,1591,NA
"USGS-02086849",1984-02-23,"Flood",179,169,1001,132.333333333333,2007,NA
"USGS-02086849",1984-03-14,"Routine sample",283,NA,916.5,496.5,1892,NA
"USGS-02086849",1984-03-28,"Routine sample",697,385,1268,928.5,529,NA
"USGS-02086849",1984-04-09,"Routine sample",1228,NA,1644.5,790,502,NA
"USGS-02086849",1984-04-23,"Routine sample",234,220,776.5,247.5,401,NA
"USGS-02086849",1984-05-03,"Routine sample",326,NA,874.5,1487.5,571,NA
"USGS-02086849",1984-05-21,"Routine sample",1464,1247,1206,1145.66666666667,778,NA
"USGS-02086849",1984-06-05,"Routine sample",1443,1251,990,1007,805,NA
"USGS-02086849",1984-06-18,"Routine sample",401,NA,1113,865,871,NA
"USGS-02086849",1984-07-10,"Routine sample",988,NA,836.5,1041.5,844,NA
"USGS-02086849",1984-07-24,"Routine sample",1455,1445,909.5,765.5,871,NA
"USGS-02086849",1984-08-07,"Routine sample",1582,NA,1022.5,1007,909,NA
"USGS-02086849",1984-08-23,"Routine sample",706,373,1026,882.5,844,NA
"USGS-02086849",1984-09-24,"Routine sample",280,226,884,1166.33333333333,801,NA
"USGS-02086849",1984-10-23,"Routine sample",316,264,1080.5,1247,827,NA
"USGS-02086849",1984-12-04,"Routine sample",374,336,684,724,1989,NA
"USGS-02086849",1984-12-19,"Routine sample",383,317,1109,1449,524,NA
"USGS-02086849",1985-01-03,"Routine sample",251,242,786,277,1989,NA
"USGS-02086849",1985-02-20,"Routine sample",306,284,1026,706,401,NA
"USGS-02086849",1985-03-26,"Routine sample",393,372,983.5,988,1989,NA
"USGS-02086849",1985-04-30,"Routine sample",1570,1452,1213.5,1580,596,NA
"USGS-02086849",1985-05-23,"Routine sample",350,331,586.5,198.333333333333,778,NA
"USGS-02086849",1985-06-18,"Routine sample",1443,1263,1271,647,871,NA
"USGS-02086849",1985-07-22,"Routine sample",1774,1763,909.5,277,909,NA
"USGS-02086849",1985-08-18,"Flood",265,299,736.333333333333,158.666666666667,888,NA
"USGS-02086849",1985-09-24,"Routine sample",2026,1994,1300.5,1042.5,823,NA
"USGS-02086849",1985-10-23,"Routine sample",1766,1603,1288.5,1220,778,NA
"USGS-02086849",1985-11-21,"Flood",204,177,869,233.333333333333,552,NA
