"agency","site_no","Date","month","HydrologicEvent","SampleFraction","Inorganic_N","Nitrate","Mixed_N","TP","Temperature","TSS","Turbidity"
"21NC01WQ","J1270000",1976-10-04,"Oct",NA," ",NA,NA,NA,NA,1117,NA,NA
"21NC01WQ","J1270000",1976-10-07,"Oct",NA," ",NA,NA,NA,NA,1307.5,NA,NA
"21NC01WQ","J1270000",1976-10-11,"Oct",NA," ",NA,NA,NA,NA,1015.5,NA,NA
"21NC01WQ","J1270000",1976-10-14,"Oct",NA," ",NA,NA,NA,NA,1017.5,NA,NA
"21NC01WQ","J1270000",1976-10-18,"Oct",NA," ",NA,NA,NA,NA,1707.5,NA,NA
"21NC01WQ","J1270000",1976-10-21,"Oct",NA," ",NA,NA,NA,NA,979,NA,NA
"21NC01WQ","J1270000",1976-10-25,"Oct",NA," ",NA,NA,NA,NA,1034,NA,NA
"21NC01WQ","J1270000",1976-10-28,"Oct",NA," ",NA,NA,NA,NA,1523.5,NA,NA
"21NC01WQ","J1270000",1976-11-01,"Nov",NA," ",NA,NA,NA,NA,935,NA,NA
"21NC01WQ","J1270000",1976-11-04,"Nov",NA," ",NA,NA,NA,NA,935,NA,NA
"21NC01WQ","J1270000",1976-11-08,"Nov",NA," ",NA,NA,NA,NA,1439,NA,NA
"21NC01WQ","J1270000",1976-11-11,"Nov",NA," ",NA,NA,NA,NA,1523.5,NA,NA
"21NC01WQ","J1270000",1976-11-15,"Nov",NA," ",NA,NA,NA,NA,1439,NA,NA
"21NC01WQ","J1270000",1976-11-18,"Nov",NA," ",NA,NA,NA,NA,1439,NA,NA
"21NC01WQ","J1270000",1976-11-22,"Nov",NA," ",NA,NA,NA,NA,1439,NA,NA
"21NC01WQ","J1270000",1976-11-26,"Nov",NA," ",NA,NA,NA,NA,1569,NA,NA
"21NC01WQ","J1270000",1976-11-29,"Nov",NA," ",NA,NA,NA,NA,1035.5,NA,NA
"21NC01WQ","J1270000",1976-12-02,"Dec",NA," ",NA,NA,NA,NA,1363.5,NA,NA
"21NC01WQ","J1270000",1976-12-06,"Dec",NA," ",NA,NA,NA,NA,1221.5,NA,NA
"21NC01WQ","J1270000",1976-12-07,"Dec",NA," ",NA,NA,NA,NA,1707.5,NA,NA
"21NC01WQ","J1270000",1976-12-09,"Dec",NA," ",NA,NA,NA,NA,1077,NA,NA
"21NC01WQ","J1270000",1976-12-13,"Dec",NA," ",NA,NA,NA,NA,1644.5,NA,NA
"21NC01WQ","J1270000",1976-12-15,"Dec",NA," ",NA,NA,NA,NA,1454,NA,NA
"21NC01WQ","J1270000",1976-12-16,"Dec",NA," ",NA,NA,NA,NA,1692,NA,NA
"21NC01WQ","J1270000",1976-12-20,"Dec",NA," ",NA,NA,NA,NA,1692,NA,NA
"21NC01WQ","J1270000",1976-12-27,"Dec",NA," ",NA,NA,NA,NA,918,NA,NA
"21NC01WQ","J1270000",1976-12-30,"Dec",NA," ",NA,NA,NA,NA,712,NA,NA
"21NC01WQ","J1270000",1977-01-03,"Jan",NA," ",NA,NA,NA,NA,1077,NA,NA
"21NC01WQ","J1270000",1977-01-06,"Jan",NA," ",NA,NA,NA,NA,1077,NA,NA
"21NC01WQ","J1270000",1977-01-07,"Jan",NA," ",NA,NA,NA,NA,712,NA,NA
"21NC01WQ","J1270000",1977-01-10,"Jan",NA," ",NA,NA,NA,NA,1106.5,NA,NA
"21NC01WQ","J1270000",1977-01-13,"Jan",NA," ",NA,NA,NA,NA,551.5,NA,NA
"21NC01WQ","J1270000",1977-01-18,"Jan",NA," ",NA,NA,NA,NA,551.5,NA,NA
"21NC01WQ","J1270000",1977-01-20,"Jan",NA," ",NA,NA,NA,NA,551.5,NA,NA
"21NC01WQ","J1270000",1977-01-24,"Jan",NA," ",NA,NA,NA,NA,551.5,NA,NA
