"OrganizationIdentifier","ActivityStartDate","ActivityStartTime/Time","ActivityEndDate","ActivityEndTime/Time","MonitoringLocationIdentifier","HydrologicEvent","HydrologicCondition","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultStatusIdentifier","ResultValueTypeName"
"USGS-NC","5/6/14",15:20:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","RBP Stream width",NA,"38","Accepted","Actual"
"USGS-NC","5/12/14",16:40:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","RBP Stream width",NA,"40","Accepted","Actual"
"USGS-NC","4/29/14",12:00:00,NA,NA,"USGS-02086849","Routine sample","Not determined","RBP Stream width",NA,"50","Accepted","Actual"
"USGS-NC","4/23/14",10:30:00,NA,NA,"USGS-02086849","Routine sample","Not determined","RBP Stream width",NA,"50","Accepted","Actual"
"USGS-NC","6/3/14",09:00:00,NA,NA,"USGS-02086849","Routine sample","Not determined","RBP Stream width",NA,"50","Accepted","Actual"
"USGS-NC","5/20/14",14:00:00,NA,NA,"USGS-02086849","Routine sample","Not determined","RBP Stream width",NA,"50","Accepted","Actual"
"USGS-NC","4/8/14",13:30:00,NA,NA,"USGS-02086849","Routine sample","Stable, high stage","RBP Stream width",NA,"75","Accepted","Actual"
"USGS-NC","9/6/08",12:45:00,NA,NA,"USGS-02086849","Storm","Falling stage","RBP Stream width",NA,"78","Accepted","Actual"
"USGS-NC","12/6/16",14:30:00,NA,NA,"USGS-0208675009","Storm","Rising stage","Temperature, water",NA,"10.4","Accepted","Actual"
"USGS-NC","3/27/18",12:15:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"10.4","Accepted","Actual"
"USGS-NC","3/18/83",10:05:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Temperature, water",NA,"10.5","Historical","Actual"
"USGS-NC","2/23/12",11:45:00,NA,NA,"USGS-0208675010","Routine sample","Falling stage","Temperature, water",NA,"10.8","Preliminary","Actual"
"USGS-NC","3/25/86",09:45:00,NA,NA,"USGS-02086849","Routine sample","Falling stage","Temperature, water",NA,"12","Historical","Actual"
"USGS-NC","11/18/92",15:15:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"12","Historical","Actual"
"USGS-NC","3/25/87",10:30:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"12","Historical","Actual"
"USGS-NC","2/19/86",15:50:00,NA,NA,"USGS-02086849","Routine sample","Rising stage","Temperature, water",NA,"12","Historical","Actual"
"USGS-NC","3/18/83",17:25:00,NA,NA,"USGS-02086849","Routine sample","Not determined","Temperature, water",NA,"13","Historical","Actual"
"USGS-NC","4/9/84",10:30:00,NA,NA,"USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"13","Historical","Actual"
"USGS-NC","4/6/89",12:40:00,NA,NA,"USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"13.3","Historical","Actual"
