"agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"USGS","0208675010",2008-08-01,0.7,"A"
"USGS","0208675010",2008-08-02,0.4,"A"
"USGS","0208675010",2008-08-03,0.34,"A"
"USGS","0208675010",2008-08-04,0.32,"A"
"USGS","0208675010",2008-08-05,0.29,"A"
"USGS","0208675010",2008-08-06,0.29,"A"
"USGS","0208675010",2008-08-07,0.27,"A"
"USGS","0208675010",2008-08-08,0.26,"A"
"USGS","0208675010",2008-08-09,0.25,"A"
"USGS","0208675010",2008-08-10,3.72,"A"
"USGS","0208675010",2008-08-11,0.76,"A"
"USGS","0208675010",2008-08-12,0.61,"A"
"USGS","0208675010",2008-08-13,0.55,"A"
"USGS","0208675010",2008-08-14,0.62,"A"
"USGS","0208675010",2008-08-15,0.83,"A"
"USGS","0208675010",2008-08-16,0.85,"A"
"USGS","0208675010",2008-08-17,0.6,"A"
"USGS","0208675010",2008-08-18,0.47,"A"
"USGS","0208675010",2008-08-19,0.42,"A"
"USGS","0208675010",2008-08-20,0.72,"A"
"USGS","0208675010",2008-08-21,1.27,"A"
"USGS","0208675010",2008-08-22,0.63,"A"
"USGS","0208675010",2008-08-23,0.53,"A"
"USGS","0208675010",2008-08-24,0.73,"A"
"USGS","0208675010",2008-08-25,0.62,"A"
"USGS","0208675010",2008-08-26,0.48,"A"
"USGS","0208675010",2008-08-27,246,"A"
"USGS","0208675010",2008-08-28,41.1,"A"
"USGS","0208675010",2008-08-29,1.4,"A"
"USGS","0208675010",2008-08-30,0.91,"A"
"USGS","0208675010",2008-08-31,1.27,"A"
"USGS","0208675010",2008-09-01,1.11,"A"
"USGS","0208675010",2008-09-02,0.87,"A"
"USGS","0208675010",2008-09-03,0.72,"A"
"USGS","0208675010",2008-09-04,0.64,"A"
"USGS","0208675010",2008-09-05,1.2,"A"
"USGS","0208675010",2008-09-06,694,"A"
"USGS","0208675010",2008-09-07,3.22,"A"
"USGS","0208675010",2008-09-08,1.85,"A"
"USGS","0208675010",2008-09-09,1.56,"A"
"USGS","0208675010",2008-09-10,2.06,"A"
"USGS","0208675010",2008-09-11,1.66,"A"
"USGS","0208675010",2008-09-12,1.39,"A"
"USGS","0208675010",2008-09-13,1.22,"A"
"USGS","0208675010",2008-09-14,1.12,"A"
"USGS","0208675010",2008-09-15,1.05,"A"
"USGS","0208675010",2008-09-16,15.6,"A"
"USGS","0208675010",2008-09-17,2.65,"A"
"USGS","0208675010",2008-09-18,1.68,"A"
"USGS","0208675010",2008-09-19,1.46,"A"
"USGS","0208675010",2008-09-20,1.3,"A"
"USGS","0208675010",2008-09-21,1.14,"A"
"USGS","0208675010",2008-09-22,1.06,"A"
"USGS","0208675010",2008-09-23,1.11,"A"
"USGS","0208675010",2008-09-24,1.15,"A"
"USGS","0208675010",2008-09-25,1.2,"A"
"USGS","0208675010",2008-09-26,227,"A"
"USGS","0208675010",2008-09-27,5.07,"A"
"USGS","0208675010",2008-09-28,3.37,"A"
"USGS","0208675010",2008-09-29,2.31,"A"
"USGS","0208675010",2008-09-30,1.97,"A"
"USGS","0208675010",2008-10-01,2.9,"A"
"USGS","0208675010",2008-10-02,1,"A e"
"USGS","0208675010",2008-10-03,0.67,"A e"
"USGS","0208675010",2008-10-04,0.65,"A e"
"USGS","0208675010",2008-10-05,0.62,"A e"
"USGS","0208675010",2008-10-06,0.3,"A e"
"USGS","0208675010",2008-10-07,0.26,"A e"
"USGS","0208675010",2008-10-08,0.55,"A e"
"USGS","0208675010",2008-10-09,0.53,"A e"
"USGS","0208675010",2008-10-10,0.51,"A"
"USGS","0208675010",2008-10-11,0.48,"A"
"USGS","0208675010",2008-10-12,0.26,"A"
"USGS","0208675010",2008-10-13,0.55,"A"
"USGS","0208675010",2008-10-14,0.46,"A"
"USGS","0208675010",2008-10-15,0.26,"A"
"USGS","0208675010",2008-10-16,0.39,"A"
"USGS","0208675010",2008-10-17,0.76,"A"
"USGS","0208675010",2008-10-18,6.64,"A"
"USGS","0208675010",2008-10-19,0.69,"A"
"USGS","0208675010",2008-10-20,0.42,"A"
"USGS","0208675010",2008-10-21,0.32,"A"
"USGS","0208675010",2008-10-22,0.31,"A"
"USGS","0208675010",2008-10-23,0.29,"A"
"USGS","0208675010",2008-10-24,0.27,"A"
"USGS","0208675010",2008-10-25,0.57,"A"
"USGS","0208675010",2008-10-26,0.49,"A"
"USGS","0208675010",2008-10-27,0.32,"A"
"USGS","0208675010",2008-10-28,0.26,"A"
"USGS","0208675010",2008-10-29,0.26,"A"
"USGS","0208675010",2008-10-30,0.22,"A"
"USGS","0208675010",2008-10-31,0.1,"A"
"USGS","0208675010",2008-11-01,0.38,"A"
"USGS","0208675010",2008-11-02,0.48,"A"
"USGS","0208675010",2008-11-03,0.57,"A"
"USGS","0208675010",2008-11-04,7.98,"A"
"USGS","0208675010",2008-11-05,4.33,"A"
"USGS","0208675010",2008-11-06,0.88,"A"
"USGS","0208675010",2008-11-07,0.5,"A"
"USGS","0208675010",2008-11-08,0.37,"A"
"USGS","0208675010",2008-11-09,0.35,"A"
"USGS","0208675010",2008-11-10,0.32,"A"
"USGS","0208675010",2008-11-11,0.34,"A"
"USGS","0208675010",2008-11-12,0.3,"A"
"USGS","0208675010",2008-11-13,0.21,"A"
"USGS","0208675010",2008-11-14,8.28,"A"
"USGS","0208675010",2008-11-15,45.3,"A"
"USGS","0208675010",2008-11-16,1.88,"A"
"USGS","0208675010",2008-11-17,0.92,"A"
"USGS","0208675010",2008-11-18,0.67,"A"
"USGS","0208675010",2008-11-19,0.66,"A"
"USGS","0208675010",2008-11-20,0.38,"A"
"USGS","0208675010",2008-11-21,0.44,"A"
"USGS","0208675010",2008-11-22,0.25,"A"
"USGS","0208675010",2008-11-23,0.35,"A"
"USGS","0208675010",2008-11-24,0.48,"A"
"USGS","0208675010",2008-11-25,4.19,"A"
"USGS","0208675010",2008-11-26,0.94,"A"
"USGS","0208675010",2008-11-27,0.65,"A"
"USGS","0208675010",2008-11-28,0.49,"A"
"USGS","0208675010",2008-11-29,0.44,"A"
"USGS","0208675010",2008-11-30,55.5,"A"
